Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
France,4131874,90583,279752,3761539,26347,2.19,6.77,32.38,68151730,60628.0,3964078,167796,4.23
Gabon,16660,96,14583,1981,0,0.58,87.53,0.66,2225728,7485.0,15625,1035,6.62
Gambia,4985,153,4437,395,0,3.07,89.01,3.45,2416664,2063.0,4759,226,4.75
Georgia,274989,3648,268237,3104,268,1.33,97.54,1.36,3989175,68934.0,272851,2138,0.78
Germany,2578842,73463,2368995,136384,8978,2.85,91.86,3.1,166803158,15460.0,2508655,70187,2.8
Ghana,87762,685,83169,3908,282,0.78,94.77,0.82,31072945,2824.0,86465,1297,1.5
Greece,221147,7091,93764,120292,1626,3.21,42.4,7.56,10423056,21217.0,205120,16027,7.81
Grenada,148,1,147,0,0,0.68,99.32,0.68,112519,1315.0,148,0,0.0
Guatemala,182881,6568,168338,7975,202,3.59,92.05,3.9,17915567,10208.0,178560,4321,2.42
Guinea,17742,102,15514,2126,150,0.57,87.44,0.66,13132792,1351.0,16670,1072,6.43
Guinea-Bissau,3447,52,2755,640,11,1.51,79.92,1.89,1967998,1752.0,3312,135,4.08
Guyana,9160,207,8288,665,39,2.26,90.48,2.5,786559,11646.0,8807,353,4.01
Haiti,12632,250,10034,2348,0,1.98,79.43,2.49,11402533,1108.0,12536,96,0.77
Holy See,27,0,15,12,0,0.0,55.56,0.0,809,33375.0,27,0,0.0
Honduras,178277,4334,68678,105265,445,2.43,38.52,6.31,9904608,17999.0,173729,4548,2.62
Hungary,516490,16952,351891,147647,8863,3.28,68.13,4.82,9660350,53465.0,466017,50473,10.83
Iceland,6072,29,6023,20,0,0.48,99.19,0.48,341250,17793.0,6059,13,0.21
India,11385339,158725,11007352,219262,26291,1.39,96.68,1.44,2751341248,4138.0,11229398,155941,1.39
Indonesia,1419455,38426,1243117,137912,4714,2.71,87.58,3.09,273523621,5190.0,1379662,39793,2.88
Iran,1746953,61230,1492488,193235,7593,3.5,85.43,4.1,83992953,20799.0,1689692,57261,3.39
Iraq,758184,13751,685770,58663,3866,1.81,90.45,2.01,40222503,18850.0,726548,31636,4.35
Ireland,226741,4534,23364,198843,383,2.0,10.3,19.41,4937796,45919.0,223219,3522,1.58
Israel,818977,6011,785342,27624,1178,0.73,95.89,0.77,8655541,94619.0,801575,17402,2.17
Italy,3223142,102145,2589731,531266,21304,3.17,80.35,3.94,120822834,26677.0,3067486,155656,5.07
Jamaica,30499,485,15139,14875,587,1.59,49.64,3.2,2961161,10300.0,26026,4473,17.19
Japan,447287,8587,425507,13193,975,1.92,95.13,2.02,252643406,1770.0,439356,7931,1.81
Jordan,477053,5346,396195,75512,8053,1.12,83.05,1.35,10203140,46756.0,427717,49336,11.53
Kazakhstan,274541,3195,251901,19445,1072,1.16,91.75,1.27,18776707,14621.0,268327,6214,2.32
Kenya,113236,1913,88405,22918,431,1.69,78.07,2.16,53771300,2106.0,108827,4409,4.05
"Korea, South",96017,1675,87754,6588,382,1.74,91.39,1.91,51269183,1873.0,92817,3200,3.45
Kosovo,76070,1688,63894,10488,0,2.22,83.99,2.64,1793000,42426.0,72600,3470,4.78
Kuwait,209523,1172,194172,14179,1063,0.56,92.67,0.6,4270563,49062.0,200572,8951,4.46
Kyrgyzstan,86850,1483,83875,1492,32,1.71,96.57,1.77,6524191,13312.0,86550,300,0.35
Laos,48,0,42,6,0,0.0,87.5,0.0,7275556,7.0,47,1,2.13
Latvia,93781,1767,84568,7446,297,1.88,90.18,2.09,1886202,49719.0,90331,3450,3.82
Lebanon,418448,5380,328706,84362,3086,1.29,78.55,1.64,6825442,61307.0,395604,22844,5.77
Lesotho,10530,309,3922,6299,0,2.93,37.25,7.88,2142252,4915.0,10523,7,0.07
Liberia,2030,85,1899,46,0,4.19,93.55,4.48,5057677,401.0,2024,6,0.3
Libya,144993,2386,131778,10829,1350,1.65,90.89,1.81,6871287,21101.0,138640,6353,4.58
Liechtenstein,2612,55,2519,38,10,2.11,96.44,2.18,38137,68490.0,2590,22,0.85
Lithuania,205385,3396,191277,10712,431,1.65,93.13,1.78,2722291,75446.0,202214,3171,1.57
Luxembourg,57503,681,53941,2881,0,1.18,93.81,1.26,625976,91861.0,56296,1207,2.14
MS Zaandam,9,2,7,0,0,22.22,77.78,28.57,0,22634.27894736842,9,0,0.0
Madagascar,21356,326,20380,650,0,1.53,95.43,1.6,27691019,771.0,20155,1201,5.96
Malawi,32789,1082,25578,6129,0,3.3,78.01,4.23,19129955,1714.0,32442,347,1.07
Malaysia,323763,1210,306274,16279,1354,0.37,94.6,0.4,32365998,10003.0,313460,10303,3.29
Maldives,21572,64,19095,2413,96,0.3,88.52,0.34,540542,39908.0,20794,778,3.74
Mali,8913,360,6503,2050,51,4.04,72.96,5.54,20250834,440.0,8580,333,3.88
Malta,26535,351,23060,3124,268,1.32,86.9,1.52,441539,60097.0,24398,2137,8.76
Marshall Islands,4,0,4,0,0,0.0,100.0,0.0,58413,68.0,4,0,0.0
Mauritania,17438,444,16772,222,14,2.55,96.18,2.65,4649660,3750.0,17322,116,0.67
Mauritius,742,10,592,140,3,1.35,79.78,1.69,1271767,583.0,641,101,15.76
Mexico,2166290,194710,1705743,265837,2415,8.99,78.74,11.41,255584572,8476.0,2128600,37690,1.77
Micronesia,1,0,1,0,0,0.0,100.0,0.0,113815,9.0,1,0,0.0
Moldova,204463,4330,178322,21811,753,2.12,87.21,2.43,4033963,50685.0,195252,9211,4.72
Monaco,2107,27,1912,168,1,1.28,90.75,1.41,39244,53690.0,2023,84,4.15
Mongolia,4083,4,2907,1172,122,0.1,71.2,0.14,3278292,1245.0,3336,747,22.39
Montenegro,83693,1129,73611,8953,528,1.35,87.95,1.53,628062,133256.0,79774,3919,4.91
Morocco,488937,8723,475849,4365,305,1.78,97.32,1.83,36910558,13247.0,486223,2714,0.56
Mozambique,64516,725,50380,13411,220,1.12,78.09,1.44,31255435,2064.0,62520,1996,3.19
Namibia,41200,458,38470,2272,175,1.11,93.37,1.19,2540916,16215.0,40030,1170,2.92
Nepal,275231,3014,271326,891,53,1.1,98.58,1.11,29136808,9446.0,274721,510,0.19
Netherlands,1172975,16200,14981,1141794,6052,1.38,1.28,108.14,34882427,33627.0,1135258,37717,3.32
New Zealand,2430,26,2311,93,7,1.07,95.1,1.13,4822233,504.0,2405,25,1.04
Nicaragua,6537,175,4225,2137,0,2.68,64.63,4.14,6624554,987.0,6489,48,0.74
Niger,4860,182,4504,174,3,3.74,92.67,4.04,24206636,201.0,4822,38,0.79
Nigeria,160657,2013,145399,13245,120,1.25,90.5,1.38,399640130,402.0,158506,2151,1.36
North Macedonia,112646,3319,97687,11640,539,2.95,86.72,3.4,2083380,54069.0,107163,5483,5.12
Norway,80440,639,17998,61803,640,0.79,22.37,3.55,5421242,14838.0,74942,5498,7.34
Oman,146867,1608,136429,8830,1610,1.09,92.89,1.18,5106622,28760.0,143955,2912,2.02
Pakistan,607453,13537,571878,22038,2253,2.23,94.14,2.37,428724125,1417.0,592100,15353,2.59
Panama,347919,5994,335850,6075,278,1.72,96.53,1.78,4314768,80634.0,344834,3085,0.89
Papua New Guinea,2173,21,846,1306,354,0.97,38.93,2.48,8947027,243.0,1583,590,37.27
Paraguay,180014,3476,149429,27109,942,1.93,83.01,2.33,7132530,25238.0,168043,11971,7.12
Peru,1407963,48841,1313763,45359,5353,3.47,93.31,3.72,65597846,21464.0,1364964,42999,3.15
Philippines,621498,12829,560512,48157,4887,2.06,90.19,2.29,109581085,5672.0,594412,27086,4.56
Poland,1906632,47178,1560227,299227,17272,2.47,81.83,3.02,37846605,50378.0,1794914,111718,6.22
Portugal,814257,16684,759417,38156,541,2.05,93.27,2.2,10196707,79855.0,810094,4163,0.51
Qatar,170252,266,158197,11789,485,0.16,92.92,0.17,2881060,59094.0,166949,3303,1.98
Romania,859709,21483,783642,54584,4383,2.5,91.15,2.74,19237682,44689.0,828283,31426,3.79
Russia,4341381,90558,3949891,300932,9985,2.09,90.98,2.29,292579178,14838.0,4274263,67118,1.57
Rwanda,20186,280,18566,1340,43,1.39,91.97,1.51,12952209,1558.0,19551,635,3.25
Saint Kitts and Nevis,43,0,41,2,0,0.0,95.35,0.0,53109,810.0,41,2,4.88
Saint Lucia,4031,51,3771,209,42,1.27,93.55,1.35,183629,21952.0,3866,165,4.27
