Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2021-02-17,109971474,2431453,61876217,45663804,395367,2.21,56.27,3.93,192
2021-02-18,110374973,2442769,62112835,45819369,403499,2.21,56.27,3.93,192
2021-02-19,110787608,2453827,62347470,45986311,412635,2.21,56.28,3.94,192
2021-02-20,111157877,2462314,62616685,46078878,370269,2.22,56.33,3.93,192
2021-02-21,111472126,2468153,62833942,46170031,314249,2.21,56.37,3.93,192
2021-02-22,111761092,2475072,63016509,46269511,288966,2.21,56.39,3.93,192
2021-02-23,112149775,2486240,63295139,46368396,388683,2.22,56.44,3.93,192
2021-02-24,112594521,2498229,63504597,46591695,444746,2.22,56.4,3.93,192
2021-02-25,113041836,2508300,63732290,46801246,447315,2.22,56.38,3.94,192
2021-02-26,113484935,2518578,63992558,46973799,443099,2.22,56.39,3.94,192
2021-02-27,113873828,2526694,64243283,47103851,388893,2.22,56.42,3.93,192
2021-02-28,114177059,2532081,64418459,47226519,303231,2.22,56.42,3.93,192
2021-03-01,114483450,2539294,64633384,47310772,306391,2.22,56.46,3.93,192
2021-03-02,114794190,2549712,64903489,47340989,385087,2.22,56.54,3.93,192
2021-03-03,115235184,2560770,65132897,47541517,440994,2.22,56.52,3.93,192
2021-03-04,115688329,2570532,65383177,47734620,453145,2.22,56.52,3.93,192
2021-03-05,116135181,2580527,65609537,47945117,446852,2.22,56.49,3.93,192
2021-03-06,116545559,2588346,65846038,48111175,410378,2.22,56.5,3.93,192
2021-03-07,116913680,2593599,66084360,48235721,368121,2.22,56.52,3.92,192
2021-03-08,117212234,2600443,66358917,48252874,298554,2.22,56.61,3.92,192
2021-03-09,117627550,2610405,66621151,48395994,415316,2.22,56.64,3.92,192
2021-03-10,118094648,2620077,66856505,48618066,467098,2.22,56.61,3.92,192
2021-03-11,118571474,2629832,67129121,48812521,476826,2.22,56.61,3.92,192
2021-03-12,119060483,2639449,67397676,49023358,489009,2.22,56.61,3.92,192
2021-03-13,119515052,2648162,67650277,49216613,454569,2.22,56.6,3.91,192
2021-03-14,119875203,2653652,67895977,49325574,360151,2.21,56.64,3.91,192
